Introduction,Gas used,Transaction Hash,Log of Transaction,Time Duration(Sec),Transaction Fee (POL),Cost (USD)
case1 - Zether Noraml Transfer,19742968,,,,1.1391127416481999,0.45
alice deposit,228144,0xf54dbd59dc054ce4e640872fbe446ca83e11854b89f063c1c61a7ac1cadf389e	,https://amoy.polygonscan.com/tx/0xf54dbd59dc054ce4e640872fbe446ca83e11854b89f063c1c61a7ac1cadf389e,4,0.01316325576430995,0.01
bob deposit,228144,0xc1dd6e65a1c486fd846ad53e0c1f701284c878b450fc0c5718bfba451c9e8b81	,https://amoy.polygonscan.com/tx/0xc1dd6e65a1c486fd846ad53e0c1f701284c878b450fc0c5718bfba451c9e8b81,7,0.01316325576430995,0.01
alice privacy send to bob with annoy group size 4,4069110,0x05d6768cdae57b6912f00a32a1826ed9bebd138c45a3621e24bf1c4ca1d94c97	,https://amoy.polygonscan.com/tx/0x05d6768cdae57b6912f00a32a1826ed9bebd138c45a3621e24bf1c4ca1d94c97,6,0.23477599964544876,0.09
alice privacy send to bob with annoy group size 8,5348290,0x10cf6c228c982cdd78b2c8b01791f9a2ab753d595c2c6ace5507e76ada7c2459	,https://amoy.polygonscan.com/tx/0x10cf6c228c982cdd78b2c8b01791f9a2ab753d595c2c6ace5507e76ada7c2459,13,0.3085810241413373,0.12
alice privacy send to bob with annoy group size 16,8319858,0x6e1cc125486ad66ff5369927aa45d141e04a1a4c3d23b0bf57ebd9260a4190a5	,https://amoy.polygonscan.com/tx/0x6e1cc125486ad66ff5369927aa45d141e04a1a4c3d23b0bf57ebd9260a4190a5,15,0.4800319919732286,0.19
bob withdraw,1549422,0xdb21190d79141a14b90b3ff1e5078338981f12067cc660a8c9b0ee55804fa1cf	,https://amoy.polygonscan.com/tx/0xdb21190d79141a14b90b3ff1e5078338981f12067cc660a8c9b0ee55804fa1cf,4,0.08939721435956524,0.04
case2 - Zether With Allowlist Failure,4138651,,,,0.2387883162924168,0.09
alice deposit,140567,0x536da1e4a4dbc2385e6f5604b8984ececc5d766666e60539ca0fb0bfedd7b4e7	,https://amoy.polygonscan.com/tx/0x536da1e4a4dbc2385e6f5604b8984ececc5d766666e60539ca0fb0bfedd7b4e7,4,0.00811031354329615,0.00
carol deposit failure,40901,0x685f90ba6ca58f6f8c074d9e16eaa1629e1572ad591f419ccb22cf182289fb1a	,https://amoy.polygonscan.com/tx/0x685f90ba6ca58f6f8c074d9e16eaa1629e1572ad591f419ccb22cf182289fb1a,5,0.002359870625640128,0.00
alice privacy send to carol,3897700,0xc3bacb9e23fa47b35ec6d73c3f96caff48f3284c00c1e9823aea2c8dbf269ff7	,https://amoy.polygonscan.com/tx/0xc3bacb9e23fa47b35ec6d73c3f96caff48f3284c00c1e9823aea2c8dbf269ff7,12,0.22488613328665621,0.09
carol withdraw failure,59483,0x275b417afb5eca7fc18f38930faf483c1522fa495005517fd0a47818484571f0	,https://amoy.polygonscan.com/tx/0x275b417afb5eca7fc18f38930faf483c1522fa495005517fd0a47818484571f0,5,0.003431998836824325,0.00
case3 - Zether With Erc20 Denylist Failure,5570087,,,,0.32137807617319725,0.13
alice deposit,140567,0xeb13106e52c3a6ad84637ddd2f0146e6a5472dcd9f19e35405b57d057924ceb3	,https://amoy.polygonscan.com/tx/0xeb13106e52c3a6ad84637ddd2f0146e6a5472dcd9f19e35405b57d057924ceb3,4,0.00811031354329615,0.00
alice privacy send to dave,3869028,0x6c179a70383658ea39189f2d43626b4159a09f6bc6ffda94a862a85484b200fc	,https://amoy.polygonscan.com/tx/0x6c179a70383658ea39189f2d43626b4159a09f6bc6ffda94a862a85484b200fc,8,0.22323184095692458,0.09
dave withdraw failure,1560492,0x061ed853a1a24ad645e7c346887320b5660f8ca171ec5dd7f1a631c612ed52c6	,https://amoy.polygonscan.com/tx/0x061ed853a1a24ad645e7c346887320b5660f8ca171ec5dd7f1a631c612ed52c6,6,0.09003592167297655,0.04
case4 - Zether Send to Other Users,15435151,,,,0.8905640313738012,0.35
alice deposit,140567,0xa1794c8b71fca2c83b25f6cc6c117502ea8ff173bc0bc49bd80a53e0b482cbc8	,https://amoy.polygonscan.com/tx/0xa1794c8b71fca2c83b25f6cc6c117502ea8ff173bc0bc49bd80a53e0b482cbc8,4,0.00811031354329615,0.00
alice privacy send to user user5,3880520,0xd9d14975530e37023482567c0b1e8b0326ff3f7349c8fb691062f112b79f0ff5	,https://amoy.polygonscan.com/tx/0xd9d14975530e37023482567c0b1e8b0326ff3f7349c8fb691062f112b79f0ff5,9,0.22389489646240993,0.09
alice privacy send to user user6,3802917,0x03566ba0b75edc39b384359170429ce2ffe5a9d41d4caae5970d9e29b5af13b8	,https://amoy.polygonscan.com/tx/0x03566ba0b75edc39b384359170429ce2ffe5a9d41d4caae5970d9e29b5af13b8,16,0.21941742549198007,0.09
alice privacy send to user user7,3807362,0xf439a9440c7b1302a0952e4d1c5eed93042fdbc571bdec68ae0131b0ca70adfd	,https://amoy.polygonscan.com/tx/0xf439a9440c7b1302a0952e4d1c5eed93042fdbc571bdec68ae0131b0ca70adfd,14,0.21967388926868409,0.09
alice privacy send to user user8,3803785,0xa6a5d423c3359fc64a6bd4b041a548661fecd33477ae74ee0b1df9ffe5a0517a	,https://amoy.polygonscan.com/tx/0xa6a5d423c3359fc64a6bd4b041a548661fecd33477ae74ee0b1df9ffe5a0517a,14,0.21946750660743095,0.09
Mainnet Gas Price: 57.697137616198326 Gwei, POL/USD rate: 0.397523907007803, timestamp: 09/19/2024, 08:07:44 AM
