Introduction,Gas used,Transaction Hash,Log of Transaction,Time Duration(Sec),Transaction Fee (POL),Cost (USD)
case1,9149072,,,,0.48119001362887776,0.19
alice deposit,1439078,0x3c0a84a4e18f2bf568954b37a03af8c8442a262d18932ed1a64bc710c0002005	,https://amoy.polygonscan.com/tx/0x3c0a84a4e18f2bf568954b37a03af8c8442a262d18932ed1a64bc710c0002005,6,0.07568745359453048,0.03
bob deposit,1439102,0x154bff9e371c50b9c62db3e0ffab4ef4ea1d21aa70394ff5636b2490effc29fc	,https://amoy.polygonscan.com/tx/0x154bff9e371c50b9c62db3e0ffab4ef4ea1d21aa70394ff5636b2490effc29fc,3,0.0756887158602911,0.03
Mint UTXO for Alice,2052552,0xe9506840f1ebaee3f9d2f66f26a3e1e133e65fe3cf0c8aba701cd1268adf4542	,https://amoy.polygonscan.com/tx/0xe9506840f1ebaee3f9d2f66f26a3e1e133e65fe3cf0c8aba701cd1268adf4542,6,0.10795275464593353,0.04
Transfer UTXO to Bob,2529865,0x567a5e6a32d6c9676f8b102ba887905d01e5460e78066668fed5bd9d8498b606	,https://amoy.polygonscan.com/tx/0x567a5e6a32d6c9676f8b102ba887905d01e5460e78066668fed5bd9d8498b606,7,0.13305674868765058,0.05
Bob withdraws,1688475,0x1ddb5971bab2e7ccfd605a97aa167af955904caf53224e801b61f72a12c482f4	,https://amoy.polygonscan.com/tx/0x1ddb5971bab2e7ccfd605a97aa167af955904caf53224e801b61f72a12c482f4,7,0.08880434084047206,0.04
case2,7259913,,,,0.38183081687568604,0.15
alice deposit,1962356,0x85d6c37cfd3f9f2fe0a43f782900e7fc672482b701e327ea853ba8cfc7d3369b	,https://amoy.polygonscan.com/tx/0x85d6c37cfd3f9f2fe0a43f782900e7fc672482b701e327ea853ba8cfc7d3369b,4,0.10320894953987791,0.04
Charlie deposit,45289,0x909ece384d643a13fdc3bcf627e194f0953355d1e71514d0891245ac3a5ea25b	,https://amoy.polygonscan.com/tx/0x909ece384d643a13fdc3bcf627e194f0953355d1e71514d0891245ac3a5ea25b,6,0.0023819480847061037,0.00
Mint UTXO for Alice,2471509,0x379b10b7d364898baaa62bd7c43cf6945da60d4bdce003c2e187a3f9ab96ff8a	,https://amoy.polygonscan.com/tx/0x379b10b7d364898baaa62bd7c43cf6945da60d4bdce003c2e187a3f9ab96ff8a,5,0.12998754949069086,0.05
Transfer UTXO to Charlie,2663246,0xefe97a8edc8c2eb32742f236fcef721764d0acbed87afc8937ea8f1113114f91	,https://amoy.polygonscan.com/tx/0xefe97a8edc8c2eb32742f236fcef721764d0acbed87afc8937ea8f1113114f91,6,0.14007184324673083,0.06
Charlie withdraws,117513,0x898d2902e441f2cf2ba6324a05fdf133f6f869984287998ddeabd51e516a8c0d	,https://amoy.polygonscan.com/tx/0x898d2902e441f2cf2ba6324a05fdf133f6f869984287998ddeabd51e516a8c0d,6,0.006180526513680329,0.00
case3,7029388,,,,0.36970649127284927,0.15
alice deposit,1469902,0xe096ed64b981db179e6f6566f0741f4803fe00518c403c8373eee4ba01ad6222	,https://amoy.polygonscan.com/tx/0xe096ed64b981db179e6f6566f0741f4803fe00518c403c8373eee4ba01ad6222,4,0.07730862358642654,0.03
Mint UTXO for Alice,2441567,0xe3578eeb5e9b45c5a8bae5dce808a9af395c3abc1d2b910ee1500878f72a09be	,https://amoy.polygonscan.com/tx/0xe3578eeb5e9b45c5a8bae5dce808a9af395c3abc1d2b910ee1500878f72a09be,4,0.12841276776549776,0.05
Transfer UTXO to Dave,3000406,0xd39d1ae45ea6fee7379df832beaf8f716abf78c71e6c9ec160d1f5190c2abdca	,https://amoy.polygonscan.com/tx/0xd39d1ae45ea6fee7379df832beaf8f716abf78c71e6c9ec160d1f5190c2abdca,6,0.15780457340724466,0.06
Dave withdraws fails,117513,0x9ab414143cb997358a1e3d6488480e4cde1ebcc069fad73730725d1ac39ed035	,https://amoy.polygonscan.com/tx/0x9ab414143cb997358a1e3d6488480e4cde1ebcc069fad73730725d1ac39ed035,7,0.006180526513680329,0.00
case4 - Zeto concurrent send to other Users,6350916,,,,0.33402265897523353,0.13
alice new utxo,1695112,0x8a0716b61e68376bd579e60e0c68f8ef1af678b3ee2abfe0fc919132b346d1a9	,https://amoy.polygonscan.com/tx/0x8a0716b61e68376bd579e60e0c68f8ef1af678b3ee2abfe0fc919132b346d1a9,4,0.08915340991769158,0.04
alice new utxo,1163563,0x95fbaeea9fdb76d87019e673c0f6a5c0bd88896723b688a62b734b0fd6a51907	,https://amoy.polygonscan.com/tx/0x95fbaeea9fdb76d87019e673c0f6a5c0bd88896723b688a62b734b0fd6a51907,3,0.06119690563458872,0.02
alice new utxo,1909747,0xda79c22230d2d3dd6057523be19fcf83ff40d7d2d0df90e8dd4d3f3db690ad4e	,https://amoy.polygonscan.com/tx/0xda79c22230d2d3dd6057523be19fcf83ff40d7d2d0df90e8dd4d3f3db690ad4e,4,0.1004420103981812,0.04
alice new utxo,1582494,0x307c7c866757c63b36d848362dbf00da7ac019e4d2ba5c89aa41d0383c5e9463	,https://amoy.polygonscan.com/tx/0x307c7c866757c63b36d848362dbf00da7ac019e4d2ba5c89aa41d0383c5e9463,4,0.08323033302477205,0.03
alice transfer to other 4 users concurrent,0,No transaction	,,14,0,0.00
Mainnet Gas Price: 52.594406692709136 Gwei. POL/USD rate: 0.3961605622364705. Time: 09/19/2024, 09:36:35 AM
